anmalningsalternativKod,antagningsomgangKod,titel,organisation,studieort,utbildningsniva,undervisningssprak,studietakt,undervisningstid,undervisningsform,poang,poangEnhet,valdaAmnesNamn,examinaNamn,forkunskapskrav,studieavgiftTotal,studieavgiftDelsumma,kursbeskrivningUrl,distansBeskrivning,program,ar,startvecka,anmalningskod
60180,HT2026,"Senare del, Civilingenjör i mjukvaruteknik (ej åk 1)",Linköpings universitet,Linköping,Grund-avancerad,Svenska,100,Dagtid,Normal,"240,0",hp,Informationsteknik | Datateknik | Informationsteknik | Teknik och teknisk industri | Dataspelsutveckling | Datavetenskap,Civilingenjörsexamen,,821200,82200,https://liu.se/utbildning/program/6cmju,,True,2026,202636,HT2026-LIU-60180
60109,HT2026,"Senare del, Civilingenjör i teknisk biologi (ej åk 1)",Linköpings universitet,Linköping,Grund-avancerad,Svenska,100,Dagtid,Normal,"240,0",hp,Teknik och teknisk industri | Biomedicin | Bioteknik | Molekylärbiologi | Biokemi | Systembiologi | Cellbiologi,Civilingenjörsexamen,,821200,82200,https://liu.se/utbildning/program/6ctbi,,True,2026,202636,HT2026-LIU-60109
60116,HT2026,"Senare del, Civilingenjör i teknisk fysik och elektroteknik (ej åk 1)",Linköpings universitet,Linköping,Grund-avancerad,Svenska,100,Dagtid,Normal,"240,0",hp,Elektronik | Teknisk fysik | Signalbehandling | Teknik och teknisk industri | Reglerteknik | Matematik | Elektroteknik,Civilingenjörsexamen,,821200,82200,https://liu.se/utbildning/program/6cyyy,,True,2026,202636,HT2026-LIU-60116
60110,HT2026,"Senare del, Civilingenjör i teknisk matematik (ej åk 1)",Linköpings universitet,Linköping,Grund-avancerad,Svenska,100,Dagtid,Normal,"240,0",hp,Teknik och teknisk industri | Data | Reglerteknik | Logistik | Matematik | Matematisk statistik,Civilingenjörsexamen,,821200,82200,https://liu.se/utbildning/program/6ctma,,True,2026,202636,HT2026-LIU-60110
89731,HT2026,"Senare del, Civilingenjör Industriell ekonomi 300 Hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"300,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,700000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89731
89732,HT2026,"Senare del, Civilingenjör Maskinteknik 300 Hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"300,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,700000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89732
89759,HT2026,"Senare del, Civilingenjör Materialteknik 300 Hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"300,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,700000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89759
89733,HT2026,"Senare del, Civilingenjör Naturresursteknik 300 Hp - för dig som redan läst 1 år på program. Till termin 5",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"300,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,700000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89733
89734,HT2026,"Senare del, Civilingenjör Rymdteknik 300 Hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"300,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,700000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89734
89760,HT2026,"Senare del, Civilingenjör Samhällsbyggnadsteknik 300 Hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"300,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,700000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89760
89735,HT2026,"Senare del, Civilingenjör Teknisk design 300 Hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"300,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,700000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89735
89736,HT2026,"Senare del, Civilingenjör Teknisk fysik och elektroteknik 300 Hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"300,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,700000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89736
89738,HT2026,"Senare del, Civilingenjör Väg- och vattenbyggnad 300 Hp - för dig som redan läst 1 år på program. Till termin 5",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"300,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,700000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89738
89745,HT2026,"Senare del, Datorgrafik för spel och film, kandidat 180 hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Skellefteå,Grund-avancerad,Engelska,100,Dagtid,Normal,"180,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,420000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89745
89755,HT2026,"Senare del, Datornätverk, 120 hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Skellefteå,Grund-avancerad,Svenska,100,Dagtid,Normal,"120,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,280000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89755
89752,HT2026,"Senare del, Datorspelsutveckling och programmering 180 Hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Skellefteå,Grund-avancerad,Engelska,100,Dagtid,Normal,"180,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,420000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89752
89743,HT2026,"Senare del, Ekonomie kandidat 180 Hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"180,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,420000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89743
89753,HT2026,"Senare del, Fastighetsmäklare Kandidat 180 Hp - för dig som redan läst 1 år på program",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"180,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,420000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89753
89750,HT2026,"Senare del, Grafisk design, konstnärlig kandidat 180 hp - för dig som redan läst 1 år på program",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"300,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,2760000,276000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89750
89751,HT2026,"Senare del, Högskoleingenjör Bergteknik 180 Hp - för dig som redan läst 1 år på program",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"180,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,420000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89751
89757,HT2026,"Senare del, Högskoleingenjör bilsystemteknik, 180 Hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"180,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,420000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89757
89739,HT2026,"Senare del, Högskoleingenjör Datateknik 180 Hp - för dig som redan läst 1 år på program.",Luleå tekniska universitet,Luleå,Grund-avancerad,Svenska,100,Dagtid,Normal,"120,0",hp,Teknik och teknisk industri | Ekonomi | Samhälls- och beteendevetenskap,Civilingenjörsexamen,Grundläggande behörighet,280000,70000,https://www.ltu.se/utbildning/program/sdhog-senare-del-hogre-arskurs-pa-program-(120-300-hogskolepoang),,True,2026,202636,HT2026-LTU-89739
